yacNam,loc,tonn,Cu,Au,Pb,Ag,Zn
BAJO,JAPN,      368000.,0, 0.000590,0,    0.007660,0
BENTEN,JAPN,       21000.,900, 0.000900,0,    0.001380,0
BRUNER,USNV,       91000.,0, 0.001700,3,    0.007800,0
CHITOSE,JAPN,     1660000.,4, 0.001390,0,    0.006200,0
GUADALUPE CALUO,MXCO,     1540000.,2, 0.004050,6,    0.056900,0
HAYDEN HILL,USCA,      472000.,0, 0.000996,0,    0.002440,0
HIGH GRADE,USCA,       31000.,0, 0.000990,0,    0.000550,0
INNAI,JAPN,       83000.,0, 0.000300,0,    0.037100,0
KAWASAKI,JAPN,       74000.,3120, 0.000017,0,    0.002880,0
KOYAMA,JAPN,      385000.,1000, 0.000840,0,    0.000610,250
LA LIBERTAD,MXCO,      166000.,0, 0.000080,0,    0.040000,0
MAMURO,JAPN,      126000.,0, 0.000380,0,    0.004380,0
MIZOBE,JAPN,      221000.,0, 0.000300,0,    0.001110,0
NAGAMATSU,JAPN,     1430000.,830, 0.000006,0,    0.003150,0
SADO,JAPN,    15000000.,40, 0.000510,0,    0.015300,0
SANEI,JAPN,       93000.,740, 0.001400,0,    0.000270,0
TAKAHATA,JAPN,      414000.,0, 0.000740,0,    0.000700,0
TAKATAMA,JAPN,     5903000.,0, 0.000330,0,    0.003120,0
TAKENO,JAPN,     1145000.,0, 0.000270,0,    0.018600,0
WINTERS,USCA,       17000.,0, 0.002090,0,    0.001470,0
